Date,Rate
2008-01-02,206
2008-01-03,206
2008-01-04,202
2008-01-07,203
2008-01-08,199
2008-01-09,202
2008-01-10,203
2008-01-11,201
2008-01-14,203
2008-01-15,198
2008-01-16,197
2008-01-17,190
2008-01-18,188
2008-01-22,185
2008-01-23,191
2008-01-24,193
2008-01-25,189
2008-01-28,193
2008-01-29,195
2008-01-30,194
2008-01-31,198
2008-02-01,200
2008-02-04,198
2008-02-05,190
2008-02-06,188
2008-02-07,190
2008-02-08,189
2008-02-11,191
2008-02-12,193
2008-02-13,196
2008-02-14,193
2008-02-15,193
2008-02-19,193
2008-02-20,195
2008-02-21,191
2008-02-22,193
2008-02-25,196
2008-02-26,198
2008-02-27,198
2008-02-28,196
2008-02-29,189
2008-03-03,189
2008-03-04,188
2008-03-05,190
2008-03-06,183
2008-03-07,181
2008-03-10,175
2008-03-11,187
2008-03-12,184
2008-03-13,186
2008-03-14,179
2008-03-17,176
2008-03-18,189
2008-03-19,182
2008-03-20,189
2008-03-24,193
2008-03-25,193
2008-03-26,191
2008-03-27,188
2008-03-28,186
2008-03-31,187
2008-04-01,196
2008-04-02,196
2008-04-03,196
2008-04-04,196
2008-04-07,197
2008-04-08,195
2008-04-09,194
2008-04-10,195
2008-04-11,189
2008-04-14,189
2008-04-15,190
2008-04-16,195
2008-04-17,195
2008-04-18,199
2008-04-21,199
2008-04-22,197
2008-04-23,198
2008-04-24,199
2008-04-25,200
2008-04-28,200
2008-04-29,199
2008-04-30,199
2008-05-01,202
2008-05-02,202
2008-05-05,202
2008-05-06,203
2008-05-07,200
2008-05-08,200
2008-05-09,199
2008-05-12,201
2008-05-13,201
2008-05-14,202
2008-05-15,203
2008-05-16,204
2008-05-19,204
2008-05-20,202
2008-05-21,199
2008-05-22,200
2008-05-23,197
2008-05-27,199
2008-05-28,199
2008-05-29,200
2008-05-30,201
2008-06-02,199
2008-06-03,197
2008-06-04,197
2008-06-05,201
2008-06-06,195
2008-06-09,195
2008-06-10,194
2008-06-11,190
2008-06-12,191
2008-06-13,195
2008-06-16,195
2008-06-17,193
2008-06-18,190
2008-06-19,191
2008-06-20,186
2008-06-23,186
2008-06-24,186
2008-06-25,187
2008-06-26,178
2008-06-27,177
2008-06-30,177
2008-07-01,178
2008-07-02,172
2008-07-03,172
2008-07-07,169
2008-07-08,175
2008-07-09,167
2008-07-10,170
2008-07-11,165
2008-07-14,162
2008-07-15,157
2008-07-16,167
2008-07-17,172
2008-07-18,172
2008-07-21,172
2008-07-22,176
2008-07-23,178
2008-07-24,169
2008-07-25,171
2008-07-28,164
2008-07-29,173
2008-07-30,178
2008-07-31,174
2008-08-01,172
2008-08-04,168
2008-08-05,178
2008-08-06,180
2008-08-07,173
2008-08-08,181
2008-08-11,183
2008-08-12,180
2008-08-13,179
2008-08-14,180
2008-08-15,182
2008-08-18,177
2008-08-19,173
2008-08-20,176
2008-08-21,177
2008-08-22,180
2008-08-25,174
2008-08-26,175
2008-08-27,178
2008-08-28,182
2008-08-29,178
2008-09-02,176
2008-09-03,176
2008-09-04,165
2008-09-05,166
2008-09-08,174
2008-09-09,161
2008-09-10,163
2008-09-11,168
2008-09-12,169
2008-09-15,150
2008-09-16,157
2008-09-17,136
2008-09-18,155
2008-09-19,170
2008-09-22,155
2008-09-23,148
2008-09-24,147
2008-09-25,155
2008-09-26,157
2008-09-29,116
2008-09-30,140
2008-10-01,138
2008-10-02,119
2008-10-03,113
2008-10-06,96
2008-10-07,72
2008-10-08,68
2008-10-09,43
2008-10-10,40
2008-10-13,74
2008-10-14,72
2008-10-15,42
2008-10-16,54
2008-10-17,52
2008-10-20,68
2008-10-21,57
2008-10-22,39
2008-10-23,42
2008-10-24,34
2008-10-27,27
2008-10-28,52
2008-10-29,49
2008-10-30,57
2008-10-31,62
2008-11-03,61
2008-11-04,75
2008-11-05,56
2008-11-06,41
2008-11-07,49
2008-11-10,46
2008-11-11,40
2008-11-12,28
2008-11-13,43
2008-11-14,33
2008-11-17,28
2008-11-18,30
2008-11-19,19
2008-11-20,11
2008-11-21,18
2008-11-24,28
2008-11-25,29
2008-11-26,37
2008-11-28,39
2008-12-01,21
2008-12-02,27
2008-12-03,32
2008-12-04,27
2008-12-05,34
2008-12-08,43
2008-12-09,37
