Date,Rate
2008-01-02,81
2008-01-03,81
2008-01-04,80
2008-01-07,80
2008-01-08,78
2008-01-09,79
2008-01-10,80
2008-01-11,79
2008-01-14,80
2008-01-15,78
2008-01-16,77
2008-01-17,75
2008-01-18,74
2008-01-22,73
2008-01-23,75
2008-01-24,76
2008-01-25,74
2008-01-28,76
2008-01-29,77
2008-01-30,76
2008-01-31,78
2008-02-01,79
2008-02-04,78
2008-02-05,75
2008-02-06,74
2008-02-07,75
2008-02-08,74
2008-02-11,75
2008-02-12,76
2008-02-13,77
2008-02-14,76
2008-02-15,76
2008-02-19,76
2008-02-20,77
2008-02-21,75
2008-02-22,76
2008-02-25,77
2008-02-26,78
2008-02-27,78
2008-02-28,77
2008-02-29,74
2008-03-03,74
2008-03-04,74
2008-03-05,75
2008-03-06,72
2008-03-07,71
2008-03-10,69
2008-03-11,74
2008-03-12,73
2008-03-13,73
2008-03-14,71
2008-03-17,69
2008-03-18,74
2008-03-19,72
2008-03-20,74
2008-03-24,76
2008-03-25,76
2008-03-26,75
2008-03-27,74
2008-03-28,73
2008-03-31,74
2008-04-01,77
2008-04-02,77
2008-04-03,77
2008-04-04,77
2008-04-07,77
2008-04-08,77
2008-04-09,76
2008-04-10,77
2008-04-11,75
2008-04-14,74
2008-04-15,75
2008-04-16,77
2008-04-17,77
2008-04-18,78
2008-04-21,78
2008-04-22,78
2008-04-23,78
2008-04-24,78
2008-04-25,79
2008-04-28,79
2008-04-29,79
2008-04-30,78
2008-05-01,79
2008-05-02,80
2008-05-05,79
2008-05-06,80
2008-05-07,79
2008-05-08,79
2008-05-09,78
2008-05-12,79
2008-05-13,79
2008-05-14,79
2008-05-15,80
2008-05-16,80
2008-05-19,80
2008-05-20,80
2008-05-21,78
2008-05-22,79
2008-05-23,78
2008-05-27,78
2008-05-28,78
2008-05-29,79
2008-05-30,79
2008-06-02,78
2008-06-03,78
2008-06-04,78
2008-06-05,79
2008-06-06,77
2008-06-09,77
2008-06-10,76
2008-06-11,75
2008-06-12,75
2008-06-13,77
2008-06-16,77
2008-06-17,76
2008-06-18,75
2008-06-19,75
2008-06-20,73
2008-06-23,73
2008-06-24,73
2008-06-25,74
2008-06-26,70
2008-06-27,70
2008-06-30,70
2008-07-01,70
2008-07-02,68
2008-07-03,68
2008-07-07,67
2008-07-08,69
