Date,Rate
2008-01-02,211
2008-01-03,211
2008-01-04,207
2008-01-07,207
2008-01-08,204
2008-01-09,206
2008-01-10,208
2008-01-11,205
2008-01-14,207
2008-01-15,202
2008-01-16,201
2008-01-17,194
2008-01-18,192
2008-01-22,189
2008-01-23,195
2008-01-24,198
2008-01-25,193
2008-01-28,198
2008-01-29,199
2008-01-30,198
2008-01-31,202
2008-02-01,205
2008-02-04,202
2008-02-05,195
2008-02-06,193
2008-02-07,195
2008-02-08,194
2008-02-11,195
2008-02-12,197
2008-02-13,200
2008-02-14,197
2008-02-15,197
2008-02-19,197
2008-02-20,199
2008-02-21,196
2008-02-22,198
2008-02-25,201
2008-02-26,203
2008-02-27,202
2008-02-28,200
2008-02-29,193
2008-03-03,194
2008-03-04,193
2008-03-05,194
2008-03-06,187
2008-03-07,185
2008-03-10,179
2008-03-11,191
2008-03-12,189
2008-03-13,190
2008-03-14,183
2008-03-17,180
2008-03-18,193
2008-03-19,186
2008-03-20,193
2008-03-24,197
2008-03-25,198
2008-03-26,196
2008-03-27,192
2008-03-28,190
2008-03-31,192
2008-04-01,201
2008-04-02,200
2008-04-03,201
2008-04-04,201
2008-04-07,201
2008-04-08,200
2008-04-09,198
2008-04-10,199
2008-04-11,194
2008-04-14,193
2008-04-15,194
2008-04-16,200
2008-04-17,200
2008-04-18,204
2008-04-21,204
2008-04-22,202
2008-04-23,202
2008-04-24,204
2008-04-25,205
2008-04-28,205
2008-04-29,204
2008-04-30,203
2008-05-01,206
2008-05-02,207
2008-05-05,206
2008-05-06,208
2008-05-07,204
2008-05-08,205
2008-05-09,204
2008-05-12,206
2008-05-13,206
2008-05-14,206
2008-05-15,208
2008-05-16,208
2008-05-19,208
2008-05-20,207
2008-05-21,204
2008-05-22,204
2008-05-23,202
2008-05-27,203
2008-05-28,204
2008-05-29,205
2008-05-30,205
2008-06-02,203
2008-06-03,202
2008-06-04,202
2008-06-05,206
2008-06-06,199
2008-06-09,199
2008-06-10,199
2008-06-11,194
2008-06-12,195
2008-06-13,199
2008-06-16,199
2008-06-17,197
2008-06-18,195
2008-06-19,196
2008-06-20,191
2008-06-23,191
2008-06-24,190
2008-06-25,192
2008-06-26,182
2008-06-27,181
2008-06-30,181
2008-07-01,183
2008-07-02,176
2008-07-03,176
2008-07-07,173
2008-07-08,180
2008-07-09,171
2008-07-10,174
2008-07-11,169
2008-07-14,166
2008-07-15,161
2008-07-16,171
2008-07-17,176
2008-07-18,176
2008-07-21,176
2008-07-22,180
2008-07-23,182
2008-07-24,173
2008-07-25,175
2008-07-28,168
2008-07-29,177
2008-07-30,182
2008-07-31,178
2008-08-01,176
2008-08-04,172
2008-08-05,183
2008-08-06,184
2008-08-07,177
2008-08-08,186
2008-08-11,188
2008-08-12,184
2008-08-13,183
2008-08-14,185
2008-08-15,186
2008-08-18,181
2008-08-19,178
2008-08-20,180
2008-08-21,181
2008-08-22,184
2008-08-25,178
2008-08-26,179
2008-08-27,182
2008-08-28,187
2008-08-29,182
2008-09-02,181
2008-09-03,180
2008-09-04,168
2008-09-05,170
2008-09-08,178
2008-09-09,164
2008-09-10,167
2008-09-11,172
2008-09-12,173
2008-09-15,153
2008-09-16,161
2008-09-17,139
2008-09-18,158
2008-09-19,174
2008-09-22,158
2008-09-23,152
2008-09-24,151
2008-09-25,159
2008-09-26,160
2008-09-29,119
2008-09-30,143
2008-10-01,141
2008-10-02,122
2008-10-03,116
2008-10-06,98
2008-10-07,73
2008-10-08,69
2008-10-09,44
2008-10-10,41
2008-10-13,76
2008-10-14,74
2008-10-15,43
2008-10-16,55
2008-10-17,53
2008-10-20,69
2008-10-21,58
2008-10-22,40
2008-10-23,43
2008-10-24,35
2008-10-27,28
2008-10-28,53
2008-10-29,50
2008-10-30,58
2008-10-31,63
2008-11-03,62
2008-11-04,77
2008-11-05,58
2008-11-06,42
2008-11-07,50
2008-11-10,47
2008-11-11,41
2008-11-12,29
2008-11-13,44
2008-11-14,34
2008-11-17,28
2008-11-18,30
2008-11-19,20
2008-11-20,12
2008-11-21,18
2008-11-24,29
2008-11-25,30
2008-11-26,37
2008-11-28,40
2008-12-01,21
2008-12-02,28
2008-12-03,33
2008-12-04,27
2008-12-05,34
2008-12-08,44
2008-12-09,38
2008-12-10,41
2008-12-11,34
2008-12-12,35
2008-12-15,33
2008-12-16,45
2008-12-17,42
2008-12-18,37
2008-12-19,38
2008-12-22,33
2008-12-23,31
2008-12-24,32
2008-12-26,34
2008-12-29,33
2008-12-30,38
2008-12-31,42
2009-01-02,51
2009-01-05,49
2009-01-06,52
2009-01-07,43
2009-01-08,44
2009-01-09,38
2009-01-12,33
2009-01-13,33
2009-01-14,27
2009-01-15,27
2009-01-16,28
2009-01-20,19
2009-01-21,26
2009-01-22,23
2009-01-23,24
2009-01-26,25
2009-01-27,27
2009-01-28,34
2009-01-29,27
2009-01-30,23
2009-02-02,23
2009-02-03,26
2009-02-04,24
2009-02-05,27
2009-02-06,33
2009-02-09,33
2009-02-10,23
2009-02-11,25
2009-02-12,25
2009-02-13,23
2009-02-17,17
2009-02-18,17
2009-02-19,15
2009-02-20,14
2009-02-23,11
2009-02-24,14
2009-02-25,13
2009-02-26,12
2009-02-27,10
2009-03-02,7
2009-03-03,6
2009-03-04,8
2009-03-05,5
2009-03-06,5
2009-03-09,5
2009-03-10,8
2009-03-11,8
2009-03-12,12
2009-03-13,12
2009-03-16,12
2009-03-17,15
2009-03-18,18
2009-03-19,16
2009-03-20,14
2009-03-23,23
2009-03-24,20
2009-03-25,21
2009-03-26,25
2009-03-27,21
2009-03-30,16
2009-03-31,18
2009-04-01,20
2009-04-02,25
2009-04-03,27
2009-04-06,25
2009-04-07,21
2009-04-08,23
2009-04-09,30
2009-04-13,30
2009-04-14,26
2009-04-15,29
2009-04-16,32
2009-04-17,33
2009-04-20,24
2009-04-21,28
2009-04-22,27
2009-04-23,29
2009-04-24,32
2009-04-27,30
2009-04-28,29
2009-04-29,34
2009-04-30,34
2009-05-01,35
2009-05-04,43
2009-05-05,42
2009-05-06,47
2009-05-07,43
2009-05-08,50
2009-05-11,44
2009-05-12,43
2009-05-13,36
2009-05-14,39
2009-05-15,36
2009-05-18,44
2009-05-19,43
2009-05-20,42
