Date,Rate
2008-01-02,417
2008-01-03,417
2008-01-04,409
2008-01-07,410
2008-01-08,404
2008-01-09,409
2008-01-10,411
2008-01-11,407
2008-01-14,410
2008-01-15,401
2008-01-16,398
2008-01-17,384
2008-01-18,381
2008-01-22,374
2008-01-23,386
2008-01-24,391
2008-01-25,383
2008-01-28,392
2008-01-29,395
2008-01-30,393
2008-01-31,400
2008-02-01,405
2008-02-04,401
2008-02-05,385
2008-02-06,381
2008-02-07,385
2008-02-08,383
2008-02-11,386
2008-02-12,390
2008-02-13,397
2008-02-14,390
2008-02-15,390
2008-02-19,390
2008-02-20,394
2008-02-21,388
2008-02-22,392
2008-02-25,398
2008-02-26,401
2008-02-27,401
2008-02-28,397
2008-02-29,383
2008-03-03,383
2008-03-04,381
2008-03-05,384
2008-03-06,371
2008-03-07,366
2008-03-10,355
2008-03-11,379
2008-03-12,373
2008-03-13,376
2008-03-14,363
2008-03-17,357
2008-03-18,383
2008-03-19,368
2008-03-20,382
2008-03-24,390
2008-03-25,392
2008-03-26,387
2008-03-27,381
2008-03-28,376
2008-03-31,380
2008-04-01,398
2008-04-02,397
2008-04-03,397
2008-04-04,398
2008-04-07,398
2008-04-08,396
2008-04-09,392
2008-04-10,394
2008-04-11,384
2008-04-14,382
2008-04-15,384
2008-04-16,396
2008-04-17,396
2008-04-18,404
2008-04-21,403
2008-04-22,399
2008-04-23,401
2008-04-24,403
2008-04-25,406
2008-04-28,405
2008-04-29,404
2008-04-30,402
2008-05-01,409
2008-05-02,410
2008-05-05,408
2008-05-06,411
2008-05-07,404
2008-05-08,406
2008-05-09,403
2008-05-12,407
2008-05-13,407
2008-05-14,408
2008-05-15,412
2008-05-16,412
2008-05-19,413
2008-05-20,410
2008-05-21,404
2008-05-22,405
2008-05-23,399
2008-05-27,402
2008-05-28,404
2008-05-29,406
2008-05-30,406
2008-06-02,402
2008-06-03,400
2008-06-04,400
2008-06-05,407
2008-06-06,394
2008-06-09,395
2008-06-10,394
2008-06-11,385
2008-06-12,387
2008-06-13,394
2008-06-16,394
2008-06-17,391
2008-06-18,386
2008-06-19,388
2008-06-20,377
2008-06-23,377
2008-06-24,376
2008-06-25,379
2008-06-26,361
2008-06-27,358
2008-06-30,359
2008-07-01,361
2008-07-02,349
2008-07-03,349
2008-07-07,343
2008-07-08,355
2008-07-09,338
2008-07-10,344
2008-07-11,335
2008-07-14,328
2008-07-15,319
2008-07-16,339
2008-07-17,348
2008-07-18,348
2008-07-21,348
2008-07-22,357
2008-07-23,360
2008-07-24,343
2008-07-25,346
2008-07-28,332
2008-07-29,350
2008-07-30,361
2008-07-31,352
2008-08-01,348
2008-08-04,341
2008-08-05,361
2008-08-06,364
2008-08-07,351
