Date,Rate
2008-01-02,441
2008-01-03,441
2008-01-04,433
2008-01-07,434
2008-01-08,427
2008-01-09,432
2008-01-10,435
2008-01-11,430
2008-01-14,434
2008-01-15,424
2008-01-16,421
2008-01-17,406
2008-01-18,403
2008-01-22,396
2008-01-23,408
2008-01-24,414
2008-01-25,405
2008-01-28,415
2008-01-29,418
2008-01-30,415
2008-01-31,423
2008-02-01,428
2008-02-04,424
2008-02-05,408
2008-02-06,403
2008-02-07,408
2008-02-08,405
2008-02-11,409
2008-02-12,413
2008-02-13,419
2008-02-14,413
2008-02-15,413
2008-02-19,412
2008-02-20,417
2008-02-21,410
2008-02-22,414
2008-02-25,421
2008-02-26,424
2008-02-27,424
2008-02-28,420
2008-02-29,405
2008-03-03,405
2008-03-04,403
2008-03-05,406
2008-03-06,393
2008-03-07,387
2008-03-10,376
2008-03-11,400
2008-03-12,395
2008-03-13,398
2008-03-14,384
2008-03-17,378
2008-03-18,405
2008-03-19,390
2008-03-20,404
2008-03-24,413
2008-03-25,414
2008-03-26,409
2008-03-27,403
2008-03-28,398
2008-03-31,401
2008-04-01,420
2008-04-02,419
2008-04-03,420
2008-04-04,420
2008-04-07,421
2008-04-08,419
2008-04-09,415
2008-04-10,417
2008-04-11,406
2008-04-14,404
2008-04-15,407
2008-04-16,418
2008-04-17,419
2008-04-18,427
2008-04-21,426
2008-04-22,422
2008-04-23,424
2008-04-24,426
2008-04-25,429
2008-04-28,429
2008-04-29,427
2008-04-30,425
2008-05-01,432
2008-05-02,433
2008-05-05,432
2008-05-06,434
2008-05-07,428
2008-05-08,429
2008-05-09,426
2008-05-12,431
2008-05-13,430
2008-05-14,432
2008-05-15,436
2008-05-16,436
2008-05-19,436
2008-05-20,433
2008-05-21,427
2008-05-22,428
2008-05-23,422
2008-05-27,425
2008-05-28,427
2008-05-29,429
2008-05-30,430
2008-06-02,425
2008-06-03,423
2008-06-04,423
2008-06-05,431
2008-06-06,417
2008-06-09,417
2008-06-10,416
2008-06-11,407
2008-06-12,409
2008-06-13,417
2008-06-16,417
2008-06-17,413
2008-06-18,408
2008-06-19,410
2008-06-20,399
2008-06-23,399
2008-06-24,397
2008-06-25,401
2008-06-26,381
2008-06-27,379
2008-06-30,380
2008-07-01,382
2008-07-02,369
2008-07-03,369
2008-07-07,363
2008-07-08,376
2008-07-09,358
2008-07-10,364
2008-07-11,355
2008-07-14,347
2008-07-15,337
2008-07-16,358
2008-07-17,368
2008-07-18,368
2008-07-21,368
2008-07-22,378
2008-07-23,381
2008-07-24,363
2008-07-25,366
2008-07-28,351
2008-07-29,370
2008-07-30,382
2008-07-31,372
2008-08-01,368
2008-08-04,361
2008-08-05,382
2008-08-06,385
2008-08-07,371
2008-08-08,388
2008-08-11,393
2008-08-12,385
2008-08-13,383
2008-08-14,387
2008-08-15,389
2008-08-18,379
2008-08-19,372
2008-08-20,376
2008-08-21,378
2008-08-22,386
2008-08-25,372
2008-08-26,375
2008-08-27,380
2008-08-28,391
2008-08-29,381
2008-09-02,378
2008-09-03,377
2008-09-04,353
2008-09-05,356
2008-09-08,372
2008-09-09,344
2008-09-10,349
2008-09-11,361
2008-09-12,362
2008-09-15,321
2008-09-16,336
2008-09-17,292
2008-09-18,331
2008-09-19,365
2008-09-22,332
2008-09-23,317
2008-09-24,316
2008-09-25,333
2008-09-26,336
2008-09-29,249
2008-09-30,300
2008-10-01,296
2008-10-02,256
2008-10-03,243
2008-10-06,205
2008-10-07,154
2008-10-08,145
2008-10-09,92
2008-10-10,86
2008-10-13,160
2008-10-14,156
2008-10-15,91
2008-10-16,116
2008-10-17,112
2008-10-20,146
2008-10-21,123
2008-10-22,84
2008-10-23,91
2008-10-24,73
2008-10-27,59
2008-10-28,112
2008-10-29,105
2008-10-30,122
2008-10-31,133
2008-11-03,131
2008-11-04,162
2008-11-05,121
2008-11-06,89
2008-11-07,106
2008-11-10,98
2008-11-11,85
2008-11-12,61
2008-11-13,93
2008-11-14,71
2008-11-17,60
2008-11-18,64
2008-11-19,41
2008-11-20,25
2008-11-21,39
2008-11-24,60
2008-11-25,63
2008-11-26,79
2008-11-28,84
2008-12-01,45
2008-12-02,59
2008-12-03,70
2008-12-04,57
2008-12-05,73
2008-12-08,92
2008-12-09,79
2008-12-10,86
2008-12-11,71
2008-12-12,75
2008-12-15,69
2008-12-16,94
2008-12-17,89
2008-12-18,78
2008-12-19,79
2008-12-22,70
2008-12-23,66
2008-12-24,68
2008-12-26,71
2008-12-29,69
2008-12-30,81
2008-12-31,88
2009-01-02,106
2009-01-05,103
2009-01-06,108
2009-01-07,90
2009-01-08,92
2009-01-09,80
2009-01-12,69
2009-01-13,70
2009-01-14,56
2009-01-15,57
2009-01-16,60
2009-01-20,41
2009-01-21,55
2009-01-22,50
2009-01-23,51
2009-01-26,53
2009-01-27,58
2009-01-28,71
2009-01-29,57
2009-01-30,49
2009-02-02,49
2009-02-03,54
2009-02-04,52
2009-02-05,58
2009-02-06,69
2009-02-09,69
2009-02-10,49
2009-02-11,52
2009-02-12,53
2009-02-13,49
2009-02-17,36
2009-02-18,35
2009-02-19,32
2009-02-20,30
2009-02-23,23
2009-02-24,31
2009-02-25,28
2009-02-26,25
2009-02-27,21
2009-03-02,15
2009-03-03,14
2009-03-04,17
2009-03-05,12
2009-03-06,12
2009-03-09,11
2009-03-10,18
2009-03-11,18
2009-03-12,25
2009-03-13,26
2009-03-16,25
2009-03-17,32
2009-03-18,37
2009-03-19,34
2009-03-20,29
2009-03-23,48
2009-03-24,41
2009-03-25,44
2009-03-26,52
2009-03-27,45
2009-03-30,35
2009-03-31,38
2009-04-01,43
2009-04-02,52
2009-04-03,56
2009-04-06,53
2009-04-07,45
2009-04-08,49
2009-04-09,63
2009-04-13,64
2009-04-14,56
2009-04-15,60
2009-04-16,67
2009-04-17,69
2009-04-20,52
2009-04-21,60
2009-04-22,57
2009-04-23,60
2009-04-24,67
2009-04-27,63
2009-04-28,62
2009-04-29,71
2009-04-30,71
2009-05-01,73
2009-05-04,90
2009-05-05,88
2009-05-06,98
2009-05-07,91
2009-05-08,105
2009-05-11,92
2009-05-12,91
2009-05-13,77
2009-05-14,82
2009-05-15,76
2009-05-18,92
2009-05-19,91
2009-05-20,88
2009-05-21,79
2009-05-22,79
2009-05-26,92
2009-05-27,82
2009-05-28,90
2009-05-29,98
2009-06-01,114
2009-06-02,115
2009-06-03,106
2009-06-04,114
2009-06-05,112
2009-06-08,111
2009-06-09,114
2009-06-10,111
2009-06-11,115
2009-06-12,116
2009-06-15,101
2009-06-16,93
2009-06-17,93
2009-06-18,97
2009-06-19,99
2009-06-22,82
2009-06-23,83
2009-06-24,87
2009-06-25,99
2009-06-26,98
2009-06-29,103
2009-06-30,98
2009-07-01,101
2009-07-02,84
2009-07-06,85
2009-07-07,75
2009-07-08,74
2009-07-09,76
2009-07-10,74
2009-07-13,87
2009-07-14,90
2009-07-15,107
2009-07-16,112
2009-07-17,112
2009-07-20,120
2009-07-21,122
2009-07-22,122
2009-07-23,138
2009-07-24,141
2009-07-27,143
2009-07-28,141
2009-07-29,138
2009-07-30,147
2009-07-31,147
2009-08-03,159
2009-08-04,162
2009-08-05,159
2009-08-06,155
2009-08-07,166
2009-08-10,163
2009-08-11,153
2009-08-12,162
2009-08-13,168
2009-08-14,161
2009-08-17,141
2009-08-18,149
2009-08-19,154
2009-08-20,163
2009-08-21,179
2009-08-24,178
2009-08-25,181
2009-08-26,181
2009-08-27,183
2009-08-28,181
2009-08-31,174
2009-09-01,156
2009-09-02,153
2009-09-03,160
2009-09-04,171
2009-09-08,178
2009-09-09,185
2009-09-10,194
2009-09-11,193
2009-09-14,199
2009-09-15,202
2009-09-16,216
2009-09-17,213
